variant,baseline,target_wave,predictor,n_train,n_observed,coverage,observed_levels,globally_eligible,training_eligible
1500,covariates_only,w26,kp_820,61862,61862,1,7,TRUE,TRUE
1500,covariates_only,w26,pi_2280,61862,61829,0.999466554589247,2,TRUE,TRUE
1500,covariates_only,w26,pi_2290s,61862,61829,0.999466554589247,49,FALSE,FALSE
1500,covariates_only,w26,pi_2320,61862,61829,0.999466554589247,8,TRUE,TRUE
1500,covariates_only,w26,pi_2591,61862,60702,0.9812485855614109,13,TRUE,TRUE
1500,lag_covariates,w15,kp_010,6704,6704,1,6,TRUE,TRUE
1500,lag_covariates,w15,kp_020,6704,6704,1,6,TRUE,TRUE
1500,lag_covariates,w15,kp_1130,6704,6704,1,9,TRUE,TRUE
1500,lag_covariates,w15,kp_1290,6704,6704,1,9,TRUE,TRUE
1500,lag_covariates,w15,kp_780,6704,6704,1,6,TRUE,TRUE
1500,lag_covariates,w15,kp_820,6704,6704,1,6,TRUE,TRUE
1500,lag_covariates,w15,pi_2280,6704,6704,1,2,TRUE,TRUE
1500,lag_covariates,w15,pi_2290s,6704,6704,1,45,FALSE,FALSE
1500,lag_covariates,w15,pi_2320,6704,6704,1,7,TRUE,TRUE
1500,lag_covariates,w15,pi_2591,6704,6583,0.9819510739856802,13,TRUE,TRUE
1500,lag_covariates,w22,kp_010,13440,13440,1,6,TRUE,TRUE
1500,lag_covariates,w22,kp_020,13440,13440,1,6,TRUE,TRUE
1500,lag_covariates,w22,kp_1130,13440,13440,1,9,TRUE,TRUE
1500,lag_covariates,w22,kp_1290,13440,13440,1,9,TRUE,TRUE
1500,lag_covariates,w22,kp_780,13440,13440,1,6,TRUE,TRUE
1500,lag_covariates,w22,kp_820,13440,13440,1,6,TRUE,TRUE
1500,lag_covariates,w22,pi_2280,13440,13435,0.9996279761904762,2,TRUE,TRUE
1500,lag_covariates,w22,pi_2290s,13440,13435,0.9996279761904762,45,FALSE,FALSE
1500,lag_covariates,w22,pi_2320,13440,13435,0.9996279761904762,8,TRUE,TRUE
1500,lag_covariates,w22,pi_2591,13440,13180,0.9806547619047619,13,TRUE,TRUE
1500,lag_covariates,w23,kp_010,23311,23311,1,6,TRUE,TRUE
1500,lag_covariates,w23,kp_020,23311,23311,1,6,TRUE,TRUE
1500,lag_covariates,w23,kp_1130,23311,23311,1,9,TRUE,TRUE
1500,lag_covariates,w23,kp_1290,23311,23311,1,9,TRUE,TRUE
1500,lag_covariates,w23,kp_780,23311,23311,1,7,TRUE,TRUE
1500,lag_covariates,w23,kp_820,23311,23311,1,7,TRUE,TRUE
1500,lag_covariates,w23,pi_2280,23311,23302,0.9996139161769122,2,TRUE,TRUE
1500,lag_covariates,w23,pi_2290s,23311,23302,0.9996139161769122,49,FALSE,FALSE
1500,lag_covariates,w23,pi_2320,23311,23302,0.9996139161769122,8,TRUE,TRUE
1500,lag_covariates,w23,pi_2591,23311,22893,0.9820685513276993,13,TRUE,TRUE
1500,lag_covariates,w25,kp_010,31889,31889,1,6,TRUE,TRUE
1500,lag_covariates,w25,kp_020,31889,31889,1,6,TRUE,TRUE
1500,lag_covariates,w25,kp_1130,31889,31889,1,9,TRUE,TRUE
1500,lag_covariates,w25,kp_1290,31889,31889,1,9,TRUE,TRUE
1500,lag_covariates,w25,kp_780,31889,31889,1,7,TRUE,TRUE
1500,lag_covariates,w25,kp_820,31889,31889,1,7,TRUE,TRUE
1500,lag_covariates,w25,pi_2280,31889,31875,0.9995609771394525,2,TRUE,TRUE
1500,lag_covariates,w25,pi_2290s,31889,31875,0.9995609771394525,49,FALSE,FALSE
1500,lag_covariates,w25,pi_2320,31889,31875,0.9995609771394525,8,TRUE,TRUE
1500,lag_covariates,w25,pi_2591,31889,31330,0.9824704443538524,13,TRUE,TRUE
1500,lag_covariates,w26,kp_010,39498,39498,1,6,TRUE,TRUE
1500,lag_covariates,w26,kp_020,39498,39498,1,6,TRUE,TRUE
1500,lag_covariates,w26,kp_1130,39498,39498,1,9,TRUE,TRUE
1500,lag_covariates,w26,kp_1290,39498,39498,1,9,TRUE,TRUE
1500,lag_covariates,w26,kp_780,39498,39498,1,7,TRUE,TRUE
1500,lag_covariates,w26,kp_820,39498,39498,1,7,TRUE,TRUE
1500,lag_covariates,w26,pi_2280,39498,39479,0.9995189629854676,2,TRUE,TRUE
1500,lag_covariates,w26,pi_2290s,39498,39479,0.9995189629854676,49,FALSE,FALSE
1500,lag_covariates,w26,pi_2320,39498,39479,0.9995189629854676,8,TRUE,TRUE
1500,lag_covariates,w26,pi_2591,39498,38808,0.9825307610511924,13,TRUE,TRUE
1500_original_scale,covariates_only,w14,kp_010,9699,9699,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w14,kp_020,9699,9699,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w14,kp_1130,9699,9699,1,8,TRUE,TRUE
1500_original_scale,covariates_only,w14,kp_1290,9699,9699,1,8,TRUE,TRUE
1500_original_scale,covariates_only,w14,kp_780,9699,9699,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w14,kp_820,9699,9699,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w14,pi_2280,9699,9697,0.9997937931745541,2,TRUE,TRUE
1500_original_scale,covariates_only,w14,pi_2290s,9699,9697,0.9997937931745541,45,FALSE,FALSE
1500_original_scale,covariates_only,w14,pi_2320,9699,9697,0.9997937931745541,8,TRUE,TRUE
1500_original_scale,covariates_only,w14,pi_2591,9699,9488,0.9782451799154552,13,TRUE,TRUE
1500_original_scale,covariates_only,w15,kp_010,17595,17595,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w15,kp_020,17595,17595,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w15,kp_1130,17595,17595,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w15,kp_1290,17595,17595,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w15,kp_780,17595,17595,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w15,kp_820,17595,17595,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w15,pi_2280,17595,17587,0.9995453253765274,2,TRUE,TRUE
1500_original_scale,covariates_only,w15,pi_2290s,17595,17587,0.9995453253765274,45,FALSE,FALSE
1500_original_scale,covariates_only,w15,pi_2320,17595,17587,0.9995453253765274,8,TRUE,TRUE
1500_original_scale,covariates_only,w15,pi_2591,17595,17205,0.9778346121057119,13,TRUE,TRUE
1500_original_scale,covariates_only,w22,kp_010,31935,31935,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w22,kp_020,31935,31935,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w22,kp_1130,31935,31935,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w22,kp_1290,31935,31935,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w22,kp_780,31935,31935,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w22,kp_820,31935,31935,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w22,pi_2280,31935,31920,0.9995302959135745,2,TRUE,TRUE
1500_original_scale,covariates_only,w22,pi_2290s,31935,31920,0.9995302959135745,49,FALSE,FALSE
1500_original_scale,covariates_only,w22,pi_2320,31935,31920,0.9995302959135745,8,TRUE,TRUE
1500_original_scale,covariates_only,w22,pi_2591,31935,31303,0.9802098011586035,13,TRUE,TRUE
1500_original_scale,covariates_only,w23,kp_010,42881,42881,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w23,kp_020,42881,42881,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w23,kp_1130,42881,42881,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w23,kp_1290,42881,42881,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w23,kp_780,42881,42881,1,7,TRUE,TRUE
1500_original_scale,covariates_only,w23,kp_820,42881,42881,1,7,TRUE,TRUE
1500_original_scale,covariates_only,w23,pi_2280,42881,42861,0.999533592966582,2,TRUE,TRUE
1500_original_scale,covariates_only,w23,pi_2290s,42881,42861,0.999533592966582,49,FALSE,FALSE
1500_original_scale,covariates_only,w23,pi_2320,42881,42861,0.999533592966582,8,TRUE,TRUE
1500_original_scale,covariates_only,w23,pi_2591,42881,42063,0.9809239523332012,13,TRUE,TRUE
1500_original_scale,covariates_only,w25,kp_010,52777,52777,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w25,kp_020,52777,52777,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w25,kp_1130,52777,52777,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w25,kp_1290,52777,52777,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w25,kp_780,52777,52777,1,7,TRUE,TRUE
1500_original_scale,covariates_only,w25,kp_820,52777,52777,1,7,TRUE,TRUE
1500_original_scale,covariates_only,w25,pi_2280,52777,52751,0.9995073611611118,2,TRUE,TRUE
1500_original_scale,covariates_only,w25,pi_2290s,52777,52751,0.9995073611611118,49,FALSE,FALSE
1500_original_scale,covariates_only,w25,pi_2320,52777,52751,0.9995073611611118,8,TRUE,TRUE
1500_original_scale,covariates_only,w25,pi_2591,52777,51782,0.9811470905887034,13,TRUE,TRUE
1500_original_scale,covariates_only,w26,kp_010,61862,61862,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w26,kp_020,61862,61862,1,6,TRUE,TRUE
1500_original_scale,covariates_only,w26,kp_1130,61862,61862,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w26,kp_1290,61862,61862,1,9,TRUE,TRUE
1500_original_scale,covariates_only,w26,kp_780,61862,61862,1,7,TRUE,TRUE
1500_original_scale,covariates_only,w26,kp_820,61862,61862,1,7,TRUE,TRUE
1500_original_scale,covariates_only,w26,pi_2280,61862,61829,0.999466554589247,2,TRUE,TRUE
1500_original_scale,covariates_only,w26,pi_2290s,61862,61829,0.999466554589247,49,FALSE,FALSE
1500_original_scale,covariates_only,w26,pi_2320,61862,61829,0.999466554589247,8,TRUE,TRUE
1500_original_scale,covariates_only,w26,pi_2591,61862,60702,0.9812485855614109,13,TRUE,TRUE
1500_original_scale,lag_covariates,w15,kp_010,6704,6704,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w15,kp_020,6704,6704,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w15,kp_1130,6704,6704,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w15,kp_1290,6704,6704,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w15,kp_780,6704,6704,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w15,kp_820,6704,6704,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w15,pi_2280,6704,6704,1,2,TRUE,TRUE
1500_original_scale,lag_covariates,w15,pi_2290s,6704,6704,1,45,FALSE,FALSE
1500_original_scale,lag_covariates,w15,pi_2320,6704,6704,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w15,pi_2591,6704,6583,0.9819510739856802,13,TRUE,TRUE
1500_original_scale,lag_covariates,w22,kp_010,13440,13440,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w22,kp_020,13440,13440,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w22,kp_1130,13440,13440,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w22,kp_1290,13440,13440,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w22,kp_780,13440,13440,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w22,kp_820,13440,13440,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w22,pi_2280,13440,13435,0.9996279761904762,2,TRUE,TRUE
1500_original_scale,lag_covariates,w22,pi_2290s,13440,13435,0.9996279761904762,45,FALSE,FALSE
1500_original_scale,lag_covariates,w22,pi_2320,13440,13435,0.9996279761904762,8,TRUE,TRUE
1500_original_scale,lag_covariates,w22,pi_2591,13440,13180,0.9806547619047619,13,TRUE,TRUE
1500_original_scale,lag_covariates,w23,kp_010,23311,23311,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w23,kp_020,23311,23311,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w23,kp_1130,23311,23311,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w23,kp_1290,23311,23311,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w23,kp_780,23311,23311,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w23,kp_820,23311,23311,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w23,pi_2280,23311,23302,0.9996139161769122,2,TRUE,TRUE
1500_original_scale,lag_covariates,w23,pi_2290s,23311,23302,0.9996139161769122,49,FALSE,FALSE
1500_original_scale,lag_covariates,w23,pi_2320,23311,23302,0.9996139161769122,8,TRUE,TRUE
1500_original_scale,lag_covariates,w23,pi_2591,23311,22893,0.9820685513276993,13,TRUE,TRUE
1500_original_scale,lag_covariates,w25,kp_010,31889,31889,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w25,kp_020,31889,31889,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w25,kp_1130,31889,31889,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w25,kp_1290,31889,31889,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w25,kp_780,31889,31889,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w25,kp_820,31889,31889,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w25,pi_2280,31889,31875,0.9995609771394525,2,TRUE,TRUE
1500_original_scale,lag_covariates,w25,pi_2290s,31889,31875,0.9995609771394525,49,FALSE,FALSE
1500_original_scale,lag_covariates,w25,pi_2320,31889,31875,0.9995609771394525,8,TRUE,TRUE
1500_original_scale,lag_covariates,w25,pi_2591,31889,31330,0.9824704443538524,13,TRUE,TRUE
1500_original_scale,lag_covariates,w26,kp_010,39498,39498,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w26,kp_020,39498,39498,1,6,TRUE,TRUE
1500_original_scale,lag_covariates,w26,kp_1130,39498,39498,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w26,kp_1290,39498,39498,1,9,TRUE,TRUE
1500_original_scale,lag_covariates,w26,kp_780,39498,39498,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w26,kp_820,39498,39498,1,7,TRUE,TRUE
1500_original_scale,lag_covariates,w26,pi_2280,39498,39479,0.9995189629854676,2,TRUE,TRUE
1500_original_scale,lag_covariates,w26,pi_2290s,39498,39479,0.9995189629854676,49,FALSE,FALSE
1500_original_scale,lag_covariates,w26,pi_2320,39498,39479,0.9995189629854676,8,TRUE,TRUE
1500_original_scale,lag_covariates,w26,pi_2591,39498,38808,0.9825307610511924,13,TRUE,TRUE
